nombre;direccion;municipio;codigo postal;comarca;lat;lon;categorias
Escola Verntallat;ctra. de San Privat;Vall d'en Bas, la;17178;Garrotxa;42.147539932;2.454331846;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Oliveres Mil·lenàries - ZER Tramuntana;c.  Escoles;Ventalló;17473;Alt Empordà;42.1506465992;3.0262568089;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Santa Bàrbara - ZER Els Castells;ctra. de Ciuret;Vidrà;17515;Osona;42.1236394819;2.31214771;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Sant Iscle;c.  Orient;Vidreres;17411;Selva;41.7891523461;2.7829772092;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Torre d'en Reig;c.  Ramon Reig;Vilabertran;17760;Alt Empordà;42.2832934773;2.9799908724;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Madrenc;c.  Perelló;Vilablareix;17180;Gironès;41.9509411332;2.7932206782;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Puig Segalar - ZER Tramuntana;c. de les Escoles;Viladamat;17137;Alt Empordà;42.1339234129;3.0742167852;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola de Sant Esteve de Guialbes;NC  Carretera Creu a General;Vilademuls;17468;Pla de l'Estany;42.138829026;2.887951913;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Els Castanyers - ZER Guilleries;c. de Balsells i Morató;Viladrau;17406;Osona;41.8499798475;2.3825093171;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Sol i Vent;c. de les Escoles;Vilafant;17740;Alt Empordà;42.2463947567;2.9391488202;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Santiago Ratés;c.  Sant Sebastià;Vilajuïga;17493;Alt Empordà;42.326723855;3.094071283;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola La Daina - ZER Vall de Ter;pl. de les Escoles;Vilallonga de Ter;17869;Ripollès;42.3316720724;2.3121132192;Educació. Formació,Ensenyaments de règim general,3. Educació primària
Llar d'infants El Pinet Xic;c.  Ter;Sant Pau de Segúries;17864;Ripollès;42.261819556;2.365861309;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Escola Nou de Quart;c. del Tren;Quart;17242;Gironès;41.93736845;2.840757347;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
LLI privada Pandara;c.  San Miquel;Girona;17001;Gironès;41.968247189;2.815559347;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Escola Fanals d'Aro;c.  Josep M. Vila;Castell-Platja d'Aro;17250;Baix Empordà;41.813429494;3.05886024;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Sec. d'Institut de Sils;c. de l' Abat Oliva;Sils;17410;Selva;41.818163981;2.736223794;Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria
Llar d'infants El Carrilet;pg. dels Països Catalans;Salt;17190;Gironès;41.9738651767;2.8007711226;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Escola Bressol Aiguaviva;c.  Major;Aiguaviva;17181;Gironès;41.9392184712;2.7633101558;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Escola Bressol Garbí;c.  Joaquim Riera Bertran;Girona;17002;Gironès;41.964892761;2.815162636;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Llar d'infants Orlina;av. de la Constitució;Peralada;17491;Alt Empordà;42.309337598;3.0130182857;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Llar d'infants L'Estel de Mossèn Gumersind;c.  València;Palamós;17230;Baix Empordà;41.852650153;3.12342455;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Llar d'infants El Molí Petit;av. de Jaume I;Sant Joan de les Abadesses;17860;Ripollès;42.236001212;2.292361854;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Llar d'infants de Maçanet de Cabrenys;ctra. de les Salines;Maçanet de Cabrenys;17720;Alt Empordà;42.3876382082;2.7494827537;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Llar d'infants de Camallera;prol. del C. Raval;Saus;17465;Alt Empordà;42.125251164;2.965958307;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Llar d'infants de Sant Miquel de Fluvià;c.  Ferrer Fàbrega;Sant Miquel de Fluvià;17475;Alt Empordà;42.1763578579;2.9907536217;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Llar d'infants de Monells;ctra. de Monells a Madremanya;Cruïlles, Monells i Sant Sadurní de l'Heura;17116;Baix Empordà;41.974838866;2.996583808;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Escola Bressol El Tractoret;urb.  Els Prats;Vilademuls;17468;Pla de l'Estany;42.1150859582;2.8734862046;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Llar inf. rural Cau de les Goges;c.  Bóbila;Sant Julià de Ramis;17481;Gironès;42.023643919;2.825023966;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
